"Incident.ID","Incident.Date","State","City.Or.County","Address","X..Victims.Injured","X..Victims.Killed","X..Subjects.Suspects.Injured","X..Subjects.Suspects.Killed","X..Subjects.Suspects.Arrested","Operations","event_type"
2514112,"January 29, 2023","District of Columbia","Washington","800 block of Chesapeake St SE",0,1,0,0,0,"N/A","accidental_death"
2514229,"January 29, 2023","Pennsylvania","Upper Darby","2407 Marshall Rd",0,1,0,0,1,"N/A","accidental_death"
2511568,"January 22, 2023","Alabama","Mobile","N/A",0,1,0,0,0,"N/A","accidental_death"
2508945,"January 22, 2023","Texas","Fort Worth","3700 block of Neches St",0,1,0,0,1,"N/A","accidental_death"
2508206,"January 22, 2023","North Carolina","Charlotte","7400 William Reynolds Dr",0,1,0,0,1,"N/A","accidental_death"
2508054,"January 22, 2023","Indiana","Indianapolis","4259 Burkhart Dr",0,1,0,0,0,"N/A","accidental_death"
2509684,"January 21, 2023","Kansas","Geuda Springs","1600 block of E 80th St",0,1,0,0,0,"N/A","accidental_death"
2506527,"January 19, 2023","Louisiana","Jennings","Gallup St",0,1,0,0,0,"N/A","accidental_death"
2506218,"January 18, 2023","South Carolina","Bishopville","520 S Lee St",0,1,0,0,0,"N/A","accidental_death"
2506614,"January 18, 2023","Arizona","Bullhead City","1100 block of Juanita Ln",1,1,0,0,0,"N/A","accidental_death"
2522494,"January 16, 2023","Michigan","Flint","Chippewa St",0,1,0,0,1,"N/A","accidental_death"
2502495,"January 14, 2023","Texas","Humble","6100 block of Nueces Park Rd",0,1,0,0,0,"N/A","accidental_death"
2504794,"January 13, 2023","Oklahoma","Oklahoma City","N/A",0,1,0,0,0,"N/A","accidental_death"
2500840,"January 11, 2023","Texas","Lubbock","4300 block of Canton Ave",0,1,0,0,1,"N/A","accidental_death"
2501513,"January 10, 2023","Texas","Austin","2000 block of Willow Creek Dr",0,1,0,0,1,"N/A","accidental_death"
2500151,"January 9, 2023","Colorado","Denver (Northglenn)","10700 block of Huron St",0,1,0,0,1,"N/A","accidental_death"
2499617,"January 9, 2023","Wyoming","Cheyenne","1400 Dell Range Blvd",0,1,0,0,1,"N/A","accidental_death"
2498344,"January 8, 2023","Texas","Corsicana","1615 W 1st Ave",0,1,0,0,0,"N/A","accidental_death"
2498314,"January 8, 2023","Florida","Tampa","2600 block of E 111th Ave",1,1,0,0,1,"N/A","accidental_death"
2498510,"January 8, 2023","Louisiana","New Orleans","Hayne Blvd and Michigan St",0,1,0,0,0,"N/A","accidental_death"
2496707,"January 5, 2023","North Carolina","Raleigh","3200 block of Harmony Ct",0,1,0,0,1,"N/A","accidental_death"
2496510,"January 4, 2023","Ohio","Mineral City","Tabor Ridge Road NE",0,1,0,0,0,"N/A","accidental_death"
2494513,"January 3, 2023","Indiana","Indianapolis","6020 E 82nd St",1,1,0,0,0,"N/A","accidental_death"
2494389,"January 3, 2023","California","Fresno","4100 block of N Blythe Ave",0,1,0,0,0,"N/A","accidental_death"
2494155,"January 2, 2023","Indiana","Indianapolis","2400 block of W Arlington Ct",0,1,0,0,0,"N/A","accidental_death"
2492895,"January 1, 2023","Illinois","Chicago","9400 block of S Wallace St",0,1,0,0,0,"N/A","accidental_death"
2498261,"January 1, 2023","New Mexico","Chimayo","Co Rd 93",0,1,0,0,0,"N/A","accidental_death"
2492427,"January 1, 2023","Michigan","Lawrence","57000 block of 60th Ave",0,2,0,0,1,"N/A","accidental_death"
2493027,"January 1, 2023","Texas","Corpus Christi","6602 Everhart Rd",0,1,0,0,2,"N/A","accidental_death"
2492705,"January 1, 2023","North Carolina","Charlotte","900 block of Moretz Ave",0,1,0,0,0,"N/A","accidental_death"
2494829,"January 1, 2023","California","Adelanto","N/A",0,1,0,0,0,"N/A","accidental_death"
2492079,"December 31, 2022","Kentucky","Guthrie","Locust St",0,1,0,0,1,"N/A","accidental_death"
2492990,"December 31, 2022","Louisiana","Shreveport","Morningside Dr and Fairy Ave",1,1,0,0,0,"N/A","accidental_death"
2490677,"December 29, 2022","Tennessee","Cleveland","Michigan Ave",0,1,0,0,0,"N/A","accidental_death"
2490637,"December 29, 2022","Florida","Lake Worth (Lantana)","7500 San Castle Blvd",0,1,0,0,1,"N/A","accidental_death"
2490451,"December 29, 2022","Missouri","Lucerne","US Hwy 136",0,1,0,0,0,"N/A","accidental_death"
2491495,"December 29, 2022","Michigan","Grand Rapids","Delaware St SE and Madison Ave SE",0,1,0,0,0,"N/A","accidental_death"
2490847,"December 29, 2022","California","Pittsburg","Suzanne Dr and Buchanan Rd",0,1,0,0,1,"N/A","accidental_death"
2490541,"December 28, 2022","Kentucky","Georgetown","300 block of Young St",0,1,0,0,1,"N/A","accidental_death"
2490421,"December 28, 2022","Texas","Houston","2118 River Village Dr",0,1,0,0,0,"N/A","accidental_death"
2489063,"December 27, 2022","Missouri","Springfield","4300 block of W Helen St",0,1,0,0,0,"N/A","accidental_death"
2489451,"December 27, 2022","Pennsylvania","Allentown","600 block of N Front St",0,1,0,0,0,"N/A","accidental_death"
2488586,"December 26, 2022","New York","New York (Manhattan)","Dyckman St and Vermilyea Ave",0,1,0,0,0,"N/A","accidental_death"
2489495,"December 26, 2022","South Carolina","Ridgeway","500 block of Shivers Green Rd",0,1,0,0,0,"N/A","accidental_death"
2487980,"December 25, 2022","West Virginia","Eskdale","1250 Decota Rd",0,1,0,0,0,"N/A","accidental_death"
2488417,"December 24, 2022","Texas","Grand Prairie","2900 block of Alouette Dr",0,1,0,0,0,"N/A","accidental_death"
2487579,"December 24, 2022","Colorado","Colorado Springs","4800 block of Rusty Nail Pt",0,1,0,0,1,"N/A","accidental_death"
2488004,"December 24, 2022","Missouri","Kansas City","7800 block of James A Reed Rd",0,1,0,0,0,"N/A","accidental_death"
2486455,"December 21, 2022","Missouri","Kansas City","8100 block of N Denver Ave",0,1,0,0,1,"N/A","accidental_death"
2485849,"December 20, 2022","Illinois","Chicago","2900 W Redfield Dr",0,1,0,0,0,"N/A","accidental_death"
2485158,"December 19, 2022","Texas","San Angelo","1300 block of Tres Rios Cir",0,1,0,0,0,"N/A","accidental_death"
2484522,"December 19, 2022","South Carolina","Hopkins","1000 block of Weston Rd",0,1,0,0,0,"N/A","accidental_death"
2484508,"December 17, 2022","Indiana","Springville","S Strauser Rd",0,1,0,0,0,"N/A","accidental_death"
2483707,"December 17, 2022","California","Fresno","1200 block of N Cornelia Ave",0,1,0,0,1,"N/A","accidental_death"
2482655,"December 16, 2022","Michigan","Hamtramck","2024 Caniff St",0,1,0,0,0,"N/A","accidental_death"
2483150,"December 16, 2022","Florida","Lakeland","5500 block of Starling Loop",0,1,0,0,0,"N/A","accidental_death"
2483141,"December 16, 2022","Florida","Bushnell","Co Rd 557",0,1,0,0,2,"N/A","accidental_death"
2486284,"December 15, 2022","Mississippi","Vossburg","County Road 39",0,1,0,0,0,"N/A","accidental_death"
2480737,"December 14, 2022","South Carolina","North Charleston","Rivers Ave and Dalton St",0,1,0,0,0,"N/A","accidental_death"
2486240,"December 13, 2022","Illinois","Aurora","1400 block of Exposition Ave",0,1,0,0,0,"N/A","accidental_death"
2480067,"December 13, 2022","North Carolina","Gastonia","107 Cindy Ln",0,1,0,0,0,"N/A","accidental_death"
2479268,"December 12, 2022","Indiana","Muncie","1500 block of W Stirling Dr",0,1,0,0,1,"N/A","accidental_death"
2478983,"December 11, 2022","Alabama","Huntsville","400 block of Julia St",0,1,0,0,0,"N/A","accidental_death"
2478603,"December 10, 2022","Texas","Houston","4335 Aldine Mail Route Rd",0,1,0,0,1,"N/A","accidental_death"
2475720,"December 6, 2022","New York","Syracuse","573 Delaware St",0,1,0,0,0,"N/A","accidental_death"
2475281,"December 5, 2022","California","Azusa","17700 block of E Newburgh St",0,1,0,0,0,"N/A","accidental_death"
2473553,"December 3, 2022","Florida","Palm Bay","700 block of Damascus Ave",0,1,0,0,1,"N/A","accidental_death"
2489161,"December 2, 2022","Alabama","Selma","1500 block of Highland Ave",0,1,0,0,0,"N/A","accidental_death"
2473499,"December 2, 2022","Illinois","Chicago","200 block of S Cicero Ave",1,2,0,0,0,"N/A","accidental_death"
2473023,"December 1, 2022","Kentucky","Henderson","2045 US Hwy 41",0,1,0,0,0,"N/A","accidental_death"
2470458,"November 29, 2022","Florida","Miami","100 block of Sierra Dr",0,1,0,0,1,"N/A","accidental_death"
2470049,"November 28, 2022","Texas","Spring Branch","7900 block of Amelia Rd",0,1,0,0,0,"N/A","accidental_death"
2469733,"November 28, 2022","Kansas","Kansas City","3600 block of N 123rd St",0,1,0,0,0,"N/A","accidental_death"
2570712,"November 27, 2022","Texas","Pasadena","2300 block of Red Bluff Rd",0,1,0,0,0,"N/A","accidental_death"
2469039,"November 27, 2022","Michigan","Detroit","16800 block of Mark Twain St",0,1,1,0,1,"N/A","accidental_death"
2470015,"November 27, 2022","Missouri","Jefferson City","9014 Century Farms Rd",0,1,0,0,1,"N/A","accidental_death"
2468956,"November 26, 2022","Indiana","Hope","300 block of Elm St",0,1,0,0,1,"N/A","accidental_death"
2468194,"November 25, 2022","South Carolina","Enoree","Memory Ln",0,1,0,0,1,"N/A","accidental_death"
2468075,"November 25, 2022","Nebraska","Imperial","126 W 12th St",0,1,0,0,1,"N/A","accidental_death"
2468663,"November 25, 2022","Mississippi","Jackson","334 Audubon Place",0,1,0,0,2,"N/A","accidental_death"
2470805,"November 24, 2022","West Virginia","Pocahontas (county)","N/A",0,1,0,0,0,"N/A","accidental_death"
2472066,"November 22, 2022","Texas","Greenville","2100 block of Henry St",0,1,0,0,1,"N/A","accidental_death"
2464927,"November 21, 2022","Tennessee","Memphis","2737 Curtis St",0,1,0,0,1,"N/A","accidental_death"
2470982,"November 20, 2022","Illinois","Rockford","N/A",0,1,0,0,1,"N/A","accidental_death"
2464247,"November 20, 2022","Wisconsin","Berlin","N/A",0,1,0,0,0,"N/A","accidental_death"
2463011,"November 18, 2022","Louisiana","New Roads","Pointe Coupee Rd and Saizon Rd",0,1,0,0,2,"N/A","accidental_death"
2461655,"November 17, 2022","Utah","Salt Lake City (Taylorsville)","1680 W Thornhill Dr",0,1,0,0,0,"N/A","accidental_death"
2460644,"November 15, 2022","Ohio","Dayton","3710 W 2nd St",0,1,0,0,1,"N/A","accidental_death"
2460130,"November 14, 2022","Texas","Houston","215 Sunnyside St",0,1,0,0,1,"N/A","accidental_death"
2459644,"November 14, 2022","Indiana","Muncie","1523 S Burlington Dr",0,1,0,0,0,"N/A","accidental_death"
2459775,"November 13, 2022","Florida","Naples","N/A",0,1,0,0,1,"N/A","accidental_death"
2458339,"November 12, 2022","Arizona","Phoenix","44th St and Thunderbird Rd",0,1,0,0,1,"N/A","accidental_death"
2458773,"November 12, 2022","Georgia","Atlanta","875 Martin Luther King Jr Dr",0,1,0,0,1,"N/A","accidental_death"
2457688,"November 11, 2022","Indiana","South Bend","1300 block of Vassar Ave",0,1,0,0,2,"N/A","accidental_death"
2459987,"November 11, 2022","Idaho","Idaho Falls","E 25th St and Woodruff Ave",0,0,0,1,0,"N/A","accidental_death"
2457463,"November 10, 2022","Florida","Miami","665 Ives Dairy Rd",0,1,0,0,0,"N/A","accidental_death"
2456798,"November 8, 2022","Idaho","Bancroft","Ivins Rd and Oregon Trail Rd",0,1,0,0,0,"N/A","accidental_death"
2457515,"November 8, 2022","Georgia","Haralson (county)","N/A",0,1,0,0,0,"N/A","accidental_death"
2453651,"November 5, 2022","New Mexico","Albuquerque","Tramway Blvd NE and Rover Ave NE",0,0,0,1,0,"N/A","accidental_death"
2454256,"November 5, 2022","Georgia","Calhoun","Neal St",0,1,0,0,0,"N/A","accidental_death"
2453550,"November 5, 2022","Colorado","Denver","800 block of N Yates St",0,1,0,0,1,"N/A","accidental_death"
2453800,"November 5, 2022","Pennsylvania","Philadelphia","3100 block of N 33rd St",0,1,0,0,0,"N/A","accidental_death"
2452847,"November 2, 2022","Texas","Brownsville","N/A",0,1,0,0,1,"N/A","accidental_death"
2451429,"November 2, 2022","New Mexico","Albuquerque","6000 block of Anderson SE",0,1,0,0,1,"N/A","accidental_death"
2451722,"November 2, 2022","North Carolina","Charlotte","1900 Charleston Pl",0,1,0,0,0,"N/A","accidental_death"
2451849,"November 2, 2022","Pennsylvania","Tamaqua","300 block of W Spruce St",0,1,0,0,0,"N/A","accidental_death"
2451860,"November 2, 2022","Ohio","Mount Orab","14000 block of US-68",0,1,0,0,0,"N/A","accidental_death"
2456990,"November 1, 2022","Nevada","Elko (county)","N/A",0,1,0,0,0,"N/A","accidental_death"
2449307,"October 31, 2022","Michigan","Saginaw","2780 Williamson Rd",0,1,0,0,0,"N/A","accidental_death"
2449112,"October 30, 2022","North Carolina","Kinston","700 block of Vernon Ave",0,1,0,0,1,"N/A","accidental_death"
2449272,"October 30, 2022","Florida","Cape Coral","100 block of Del Prado Blvd N",0,1,0,0,1,"N/A","accidental_death"
2451395,"October 29, 2022","Florida","Holiday","US-19",0,1,0,0,1,"N/A","accidental_death"
2448508,"October 29, 2022","Pennsylvania","Erie","1611 Chestnut St",0,1,0,0,1,"N/A","accidental_death"
2447180,"October 27, 2022","South Carolina","Effingham","5911 Hector Rd",0,1,0,0,1,"N/A","accidental_death"
2446997,"October 27, 2022","California","Oro Grande","National Trails Hwy and Mill St",0,1,0,0,0,"N/A","accidental_death"
2447771,"October 27, 2022","California","Burlingame","200 block of Stanley Rd",0,1,0,0,0,"N/A","accidental_death"
2446485,"October 26, 2022","Illinois","Chicago","2600 block of W Potomac Ave",0,1,0,0,3,"N/A","accidental_death"
2444573,"October 24, 2022","Texas","Houston","5535 Timber Creek Pl",0,1,0,0,0,"N/A","accidental_death"
2444759,"October 24, 2022","Illinois","Chicago","3600 block of S Rhodes Ave",0,1,0,0,1,"N/A","accidental_death"
